learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1110000.0,38.859375,0.0,1000.0,0.05179904303146882,0.09738495882602038,1110000.0,0.0,7811.0,3906.0,3906.0,25.0,0.0,0.0,1.0
1120000.0,39.359375,0.0,1000.0,0.04622237391761079,0.08410831864295834,1120000.0,0.0,7865.0,3933.0,3933.0,25.0,0.0,0.0,1.0
1130000.0,39.84375,0.0,1000.0,0.04896178164902699,0.09182477397047732,1130000.0,0.0,7941.0,3971.0,3971.0,25.0,0.0,0.0,1.0
1140000.0,40.359375,0.0,1000.0,0.05112702562026304,0.09318670336327001,1140000.0,0.0,8023.0,4012.0,4012.0,26.0,0.0,0.0,1.0
1150000.0,40.890625,0.0,1000.0,0.05016005424044427,0.09109907416016223,1150000.0,0.0,8085.0,4043.0,4043.0,26.0,0.0,0.0,1.0
1160000.0,41.40625,0.0,1000.0,0.051422131740529654,0.08924934276417892,1160000.0,0.0,8155.0,4078.0,4078.0,26.0,0.0,0.0,1.0
1170000.0,41.921875,0.0,1000.0,0.05006332501815459,0.09495291802488831,1170000.0,0.0,8217.0,4109.0,4109.0,26.0,0.0,0.0,1.0
1180000.0,42.453125,0.0,1000.0,0.05123223211344806,0.09690131602462994,1180000.0,0.0,8297.0,4149.0,4149.0,26.0,0.0,0.0,1.0
1190000.0,43.015625,0.0,1000.0,0.04618993282938838,0.08268614993073238,1190000.0,0.0,8371.0,4186.0,4186.0,26.0,0.0,0.0,1.0
1200000.0,43.546875,0.0,1000.0,0.05025609239473899,0.09128806977374357,1200000.0,0.0,8443.0,4222.0,4222.0,26.0,0.0,0.0,1.0
1210000.0,44.078125,0.0,1000.0,0.045286956067534696,0.07882516443263038,1210000.0,0.0,8515.0,4258.0,4258.0,26.0,0.0,0.0,1.0
1220000.0,44.609375,0.0,1000.0,0.051721771316713204,0.0950595840079099,1220000.0,0.0,8569.0,4285.0,4285.0,26.0,0.0,0.0,1.0
1230000.0,45.140625,0.0,1000.0,0.048704539145092554,0.0857933821116742,1230000.0,0.0,8651.0,4326.0,4326.0,26.0,0.0,0.0,1.0
1240000.0,45.671875,0.0,1000.0,0.051799539165162056,0.0936133031692428,1240000.0,0.0,8711.0,4356.0,4356.0,26.0,0.0,0.0,1.0
1250000.0,46.234375,0.0,1000.0,0.04988918840779765,0.0911061748138244,1250000.0,0.0,8791.0,4396.0,4396.0,26.0,0.0,0.0,1.0
1260000.0,46.78125,0.0,1000.0,0.04776118671677365,0.08999705092946299,1260000.0,0.0,8855.0,4428.0,4428.0,26.0,0.0,0.0,1.0
1270000.0,47.328125,0.0,1000.0,0.051977519147232185,0.09894233266085713,1270000.0,0.0,8933.0,4467.0,4467.0,26.0,0.0,0.0,1.0
1280000.0,47.890625,0.0,1000.0,0.04533376052522099,0.07868484026748725,1280000.0,0.0,9011.0,4506.0,4506.0,26.0,0.0,0.0,1.0
1290000.0,48.46875,0.0,1000.0,0.0478741514069569,0.08693165313301537,1290000.0,0.0,9089.0,4545.0,4545.0,26.0,0.0,0.0,1.0
